frame_idx,track_id,x1,y1,x2,y2,feet_x,feet_y,reliable
0,1,1472.2,332.6,1687.8,948.1,1599.1,904.7,1
0,2,1235.0,315.9,1421.0,833.3,1306.0,796.4,1
0,3,501.6,249.7,579.4,689.4,519.3,666.6,1
0,4,638.0,318.0,699.6,481.4,668.8,481.4,0
1,1,1467.9,331.0,1683.8,947.6,1597.0,901.7,1
1,2,1236.9,315.0,1423.0,832.4,1307.2,795.5,1
1,3,503.9,248.3,581.8,688.9,519.2,664.8,1
1,4,636.7,316.2,698.8,480.5,667.7,480.5,0
2,1,1465.6,329.3,1681.4,947.2,1593.4,896.9,1
2,2,1237.9,314.0,1424.4,832.0,1307.7,795.2,1
2,3,505.9,247.2,583.6,688.0,522.0,661.3,1
2,4,636.9,314.6,699.5,480.4,668.2,480.4,0
3,1,1464.2,326.7,1680.0,946.5,1591.0,896.4,1
3,2,1240.3,314.1,1426.5,830.6,1309.0,793.4,1
3,3,506.9,247.7,583.9,684.9,528.8,660.5,1
3,4,636.6,313.3,699.7,480.0,668.2,480.0,0
4,1,1464.0,324.4,1679.0,944.8,1586.6,892.8,1
4,2,1243.0,312.4,1429.7,829.5,1310.8,792.0,1
4,3,511.9,249.1,587.9,683.5,526.4,655.6,1
4,4,636.5,311.5,700.0,479.3,668.2,479.3,0
5,1,1464.7,322.0,1678.2,941.5,1584.6,887.6,1
5,2,1246.8,312.0,1434.0,828.6,1311.6,787.2,1
5,3,511.4,245.9,597.4,740.6,492.3,721.2,1
5,4,640.2,310.6,703.7,478.0,671.9,478.0,0
6,1,1469.0,318.7,1681.2,938.5,1581.8,885.6,1
6,2,1252.1,308.4,1440.9,826.8,1313.7,784.6,1
6,3,504.8,237.2,601.2,788.1,498.6,751.5,1
6,4,641.9,308.8,705.9,476.9,664.4,533.3,1
7,1,1471.5,315.9,1682.2,936.5,1574.4,884.6,1
7,2,1255.9,306.4,1445.9,825.0,1317.2,783.9,1
7,3,506.7,231.7,608.3,805.4,507.4,752.1,1
7,4,641.4,306.7,706.1,475.0,680.1,530.2,1
8,1,1472.3,313.6,1681.1,934.5,1566.3,884.0,1
8,2,1259.3,304.2,1451.1,823.1,1323.1,782.1,1
8,3,511.6,228.6,617.0,811.5,520.8,756.1,1
8,4,641.0,304.2,706.8,472.6,679.9,527.9,1
9,1,1474.9,311.0,1681.5,934.1,1562.2,875.2,1
9,2,1261.4,301.4,1455.1,820.5,1327.6,779.6,1
9,3,518.8,226.2,628.6,812.1,534.0,757.6,1
9,4,641.2,302.3,707.9,470.5,680.3,521.3,1
10,1,1470.3,309.5,1674.7,931.8,1553.0,870.0,1
10,2,1262.8,298.5,1458.7,818.3,1330.8,776.2,1
10,3,533.5,224.3,649.8,809.8,545.5,759.6,1
10,4,641.7,300.3,709.3,468.7,680.3,527.9,1
11,1,1462.1,307.4,1665.3,929.0,1547.3,866.0,1
11,2,1264.1,296.7,1461.9,816.4,1334.1,773.2,1
11,3,545.8,224.6,670.2,807.8,555.9,761.7,1
11,4,641.1,298.6,709.7,467.0,679.1,533.8,1
12,1,1451.9,305.7,1654.9,926.1,1536.6,863.5,1
12,2,1264.9,293.1,1465.2,814.1,1335.7,768.8,1
12,3,554.4,227.7,687.7,806.7,566.5,760.2,1
12,4,641.9,295.7,711.2,464.6,676.6,464.6,0
13,1,1440.7,303.2,1644.2,922.0,1528.2,859.4,1
13,2,1266.4,290.6,1468.1,810.7,1337.3,764.2,1
13,3,556.3,225.5,699.6,804.8,568.6,758.0,1
13,4,645.2,292.8,714.3,461.8,679.7,461.8,0
14,1,1428.5,299.9,1633.7,918.4,1521.3,856.7,1
14,2,1267.6,287.2,1471.0,807.1,1338.1,759.5,1
14,3,554.9,227.5,706.4,802.7,573.6,755.9,1
14,4,651.5,291.8,718.9,459.8,685.2,459.8,0
15,1,1417.4,297.4,1623.9,914.8,1515.7,852.3,1
15,2,1268.7,284.9,1473.5,804.3,1338.4,755.1,1
15,3,551.6,226.5,712.2,800.5,582.3,752.9,1
16,1,1408.9,295.4,1616.5,911.5,1510.8,846.7,1
16,2,1271.5,282.6,1477.2,801.2,1337.8,750.0,1
16,3,547.7,225.7,716.7,798.8,591.3,746.9,1
16,5,526.0,238.0,580.4,653.7,538.7,630.6,1
17,1,1402.0,292.4,1610.5,908.2,1506.1,845.4,1
17,2,1274.4,280.8,1480.4,798.1,1341.0,745.2,1
17,3,541.7,224.8,719.0,796.7,599.3,744.3,1
17,5,527.8,256.7,579.7,650.6,541.2,626.2,1
17,6,520.1,249.2,583.8,655.3,532.3,634.5,1
18,1,1397.1,289.4,1606.1,905.9,1505.4,843.9,1
18,2,1278.1,278.7,1484.1,794.6,1344.4,739.8,1
18,3,540.8,224.0,724.8,794.7,608.7,738.1,1
18,6,521.0,254.0,584.0,654.7,532.2,629.0,1
19,1,1393.6,287.7,1602.2,902.9,1503.1,840.1,1
19,2,1283.3,276.4,1489.7,792.2,1348.9,736.0,1
19,3,543.1,223.5,731.6,792.8,622.4,729.7,1
19,6,521.6,252.1,585.1,653.9,530.8,627.5,1
20,1,1391.2,285.8,1598.8,899.2,1500.6,834.6,1
20,2,1288.2,274.3,1494.2,790.4,1354.0,733.4,1
20,3,552.0,219.7,743.9,789.5,630.6,726.7,1
20,6,521.5,249.9,585.2,650.5,525.0,623.6,1
21,1,1388.8,280.9,1595.2,892.8,1498.1,831.2,1
21,2,1292.3,270.4,1497.5,789.7,1358.3,733.9,1
21,3,568.8,215.7,763.8,787.3,644.0,725.5,1
21,6,520.2,239.3,586.1,649.4,519.0,621.7,1
22,1,1386.3,278.0,1591.1,887.7,1495.3,828.1,1
22,2,1297.2,267.3,1500.3,788.8,1361.9,736.7,1
22,3,588.1,212.5,785.6,786.0,656.6,724.5,1
22,6,517.7,228.7,587.0,654.8,505.1,623.8,1
23,1,1383.2,275.3,1586.2,882.1,1488.4,818.0,1
23,2,1302.3,267.7,1503.2,792.4,1368.9,734.1,1
23,3,609.3,211.2,807.7,784.4,673.3,726.3,1
23,6,515.0,215.3,588.6,663.6,503.2,626.3,1
24,1,1380.6,272.5,1580.6,875.2,1481.8,811.4,1
24,2,1309.0,268.0,1505.7,794.2,1374.0,736.8,1
24,3,628.9,211.0,828.2,782.7,689.5,726.4,1
24,6,513.1,208.2,589.9,672.2,506.2,632.4,1
25,1,1375.9,269.4,1572.9,870.5,1474.0,807.0,1
25,2,1311.8,268.2,1502.8,791.3,1373.8,741.4,1
25,3,641.0,211.0,843.7,785.9,703.4,733.7,1
25,6,511.6,204.3,590.8,679.4,504.6,638.8,1
25,4,631.4,268.1,700.4,437.7,665.9,437.7,0
26,1,1367.4,265.9,1561.5,862.6,1459.5,798.3,1
26,2,1312.3,274.6,1495.5,788.7,1380.5,741.8,1
26,3,649.8,211.2,856.4,789.6,719.0,740.6,1
26,6,510.0,202.0,591.0,686.2,511.0,643.5,1
26,4,629.6,266.2,699.3,436.6,664.5,436.6,0
27,1,1356.9,265.3,1548.5,855.0,1447.4,780.5,1
27,2,1348.0,299.3,1475.4,651.3,1403.5,763.2,1
27,3,657.9,210.7,868.6,792.2,729.9,742.3,1
27,6,508.8,202.4,590.9,692.1,512.5,649.7,1
27,4,628.6,264.1,699.3,435.9,663.9,435.9,0
